"","X","Z","Y","block"
"388",388,FALSE,0,15
"389",389,FALSE,0,15
"390",390,FALSE,1,15
"391",391,FALSE,0,15
"392",392,FALSE,1,15
"393",393,TRUE,1,15
"394",394,TRUE,1,15
"395",395,FALSE,0,15
"396",396,FALSE,0,15
"397",397,FALSE,0,15
"398",398,TRUE,1,15
"399",399,FALSE,0,15
"400",400,FALSE,1,15
"401",401,TRUE,0,15
"402",402,TRUE,0,15
"403",403,TRUE,1,15
"404",404,FALSE,0,15
"405",405,TRUE,1,15
"406",406,FALSE,1,15
"407",407,TRUE,1,15
"408",408,TRUE,0,15
"409",409,TRUE,0,15
"410",410,TRUE,1,15
"411",411,FALSE,1,15
"412",412,TRUE,0,15
"413",413,FALSE,1,15
"414",414,FALSE,1,15
"415",415,FALSE,0,10
"416",416,TRUE,0,10
"417",417,TRUE,0,10
"418",418,FALSE,1,1
"419",419,FALSE,0,1
"420",420,FALSE,1,1
"421",421,FALSE,1,1
"422",422,FALSE,1,1
"423",423,FALSE,1,1
"424",424,FALSE,0,1
"425",425,FALSE,0,1
"426",426,TRUE,0,1
"427",427,TRUE,0,1
"428",428,FALSE,1,1
"429",429,TRUE,0,1
"430",430,TRUE,0,1
"431",431,TRUE,0,16
"432",432,TRUE,1,16
"433",433,TRUE,1,16
"434",434,FALSE,1,16
"435",435,FALSE,0,16
"436",436,TRUE,1,16
"437",437,FALSE,1,16
"438",438,TRUE,1,16
"439",439,TRUE,1,16
"440",440,TRUE,1,16
"441",441,FALSE,1,16
"442",442,FALSE,0,16
"443",443,FALSE,1,16
"444",444,TRUE,0,16
"445",445,FALSE,1,16
"446",446,TRUE,0,16
"447",447,TRUE,1,16
"448",448,TRUE,1,16
"449",449,FALSE,1,16
"450",450,FALSE,1,16
"451",451,TRUE,1,16
"452",452,FALSE,1,16
"453",453,FALSE,1,16
"454",454,TRUE,1,16
"455",455,TRUE,1,16
"456",456,TRUE,1,16
"457",457,TRUE,0,16
"458",458,TRUE,1,16
"459",459,TRUE,1,16
"460",460,TRUE,1,16
"461",461,TRUE,0,2
"462",462,TRUE,1,2
"463",463,FALSE,0,2
"464",464,FALSE,0,2
"465",465,FALSE,1,2
"466",466,TRUE,1,2
"467",467,FALSE,1,2
"468",468,TRUE,0,2
"469",469,FALSE,1,2
"470",470,FALSE,0,2
"471",471,FALSE,1,2
"472",472,FALSE,0,2
"473",473,FALSE,0,2
"474",474,FALSE,0,2
"475",475,FALSE,0,2
"476",476,TRUE,1,2
"477",477,TRUE,0,2
"478",478,TRUE,1,2
"479",479,TRUE,1,2
"480",480,TRUE,1,2
"481",481,TRUE,1,2
"482",482,TRUE,1,2
"483",483,TRUE,1,2
"484",484,FALSE,1,2
"485",485,TRUE,1,2
"486",486,TRUE,1,2
"487",487,TRUE,1,2
"488",488,FALSE,0,10
"489",489,TRUE,0,10
"490",490,FALSE,0,10
"491",491,TRUE,1,17
"492",492,FALSE,1,17
"493",493,TRUE,0,17
"494",494,FALSE,1,17
"495",495,TRUE,1,17
"496",496,FALSE,1,17
"497",497,FALSE,1,17
"498",498,FALSE,1,17
"499",499,FALSE,1,17
"500",500,TRUE,0,17
"501",501,TRUE,1,17
"502",502,FALSE,1,17
"503",503,FALSE,1,17
"504",504,FALSE,0,17
"505",505,TRUE,1,17
"506",506,FALSE,0,17
"507",507,FALSE,1,17
"508",508,FALSE,1,17
"509",509,FALSE,1,17
"510",510,TRUE,0,17
"511",511,TRUE,0,17
"512",512,FALSE,1,17
"513",513,FALSE,1,17
"514",514,FALSE,0,17
"515",515,TRUE,1,17
"516",516,TRUE,1,17
"517",517,TRUE,0,17
"518",518,FALSE,1,17
"519",519,TRUE,1,17
"520",520,TRUE,0,17
"521",521,FALSE,1,2
"522",522,TRUE,1,2
"523",523,TRUE,1,2
"524",524,TRUE,1,18
"525",525,TRUE,0,18
"526",526,FALSE,1,18
"527",527,TRUE,1,18
"528",528,TRUE,1,18
"529",529,FALSE,1,18
"530",530,FALSE,0,18
"531",531,FALSE,0,18
"532",532,FALSE,0,18
"533",533,FALSE,0,18
"534",534,FALSE,0,18
"535",535,FALSE,1,18
"536",536,FALSE,1,18
"537",537,FALSE,1,18
"538",538,TRUE,0,18
"539",539,TRUE,0,18
"540",540,FALSE,0,18
"541",541,TRUE,1,18
"542",542,FALSE,1,18
"543",543,FALSE,1,18
"544",544,FALSE,1,18
"545",545,TRUE,0,18
"546",546,FALSE,0,18
"547",547,TRUE,0,18
"548",548,FALSE,0,18
"549",549,FALSE,1,18
"550",550,FALSE,1,18
"551",551,FALSE,1,18
"552",552,TRUE,1,18
"553",553,FALSE,1,18
"554",554,FALSE,1,19
"555",555,FALSE,1,19
"556",556,TRUE,1,19
"557",557,FALSE,1,19
"558",558,FALSE,1,19
"559",559,TRUE,1,19
"560",560,FALSE,1,19
"561",561,TRUE,1,19
"562",562,TRUE,1,19
"563",563,TRUE,1,19
"564",564,TRUE,1,19
"565",565,FALSE,1,19
"566",566,FALSE,1,19
"567",567,TRUE,1,19
"568",568,TRUE,0,19
"569",569,FALSE,1,19
"570",570,TRUE,1,19
"571",571,TRUE,1,19
"572",572,TRUE,1,19
"573",573,FALSE,1,19
"574",574,TRUE,1,19
"575",575,FALSE,0,19
"576",576,FALSE,0,19
"577",577,FALSE,1,19
"578",578,TRUE,0,19
"579",579,TRUE,0,19
"580",580,TRUE,0,19
"581",581,TRUE,1,19
"582",582,TRUE,0,19
"583",583,TRUE,1,19
"584",584,FALSE,1,20
"585",585,TRUE,1,20
"586",586,TRUE,1,20
"587",587,TRUE,1,20
"588",588,TRUE,0,20
"589",589,FALSE,0,20
"590",590,TRUE,1,20
"591",591,TRUE,1,20
"592",592,FALSE,1,20
"593",593,FALSE,0,20
"594",594,FALSE,0,20
"595",595,FALSE,0,20
"596",596,TRUE,0,20
"597",597,TRUE,0,20
"598",598,TRUE,0,20
"599",599,FALSE,1,20
"600",600,FALSE,1,20
"601",601,FALSE,1,20
"602",602,FALSE,1,20
"603",603,FALSE,1,20
"604",604,TRUE,0,20
"605",605,TRUE,1,20
"606",606,TRUE,1,20
"607",607,FALSE,1,20
"608",608,FALSE,0,20
"609",609,TRUE,1,20
"610",610,FALSE,0,20
"611",611,FALSE,1,20
"612",612,TRUE,0,20
"613",613,TRUE,0,20
"614",614,TRUE,1,21
"615",615,TRUE,1,21
"616",616,TRUE,1,21
"617",617,FALSE,1,21
"618",618,TRUE,1,21
"619",619,FALSE,1,21
"620",620,TRUE,1,21
"621",621,FALSE,1,21
"622",622,TRUE,1,21
"623",623,TRUE,1,21
"624",624,FALSE,0,21
"625",625,FALSE,0,21
"626",626,TRUE,0,21
"627",627,FALSE,1,21
"628",628,FALSE,0,21
"629",629,FALSE,1,21
"630",630,FALSE,1,21
"631",631,FALSE,0,21
"632",632,TRUE,0,21
"633",633,TRUE,1,21
"634",634,FALSE,1,21
"635",635,TRUE,1,21
"636",636,FALSE,1,21
"637",637,FALSE,1,21
"638",638,TRUE,1,21
"639",639,TRUE,1,21
"640",640,TRUE,1,21
"641",641,FALSE,0,21
"642",642,TRUE,0,21
"643",643,FALSE,1,21
"644",644,FALSE,0,22
"645",645,TRUE,0,22
"646",646,FALSE,0,22
"647",647,FALSE,1,22
"648",648,FALSE,1,22
"649",649,FALSE,0,22
"650",650,TRUE,0,22
"651",651,FALSE,0,22
"652",652,TRUE,0,22
"653",653,FALSE,0,22
"654",654,TRUE,0,22
"655",655,FALSE,0,22
"656",656,FALSE,0,22
"657",657,FALSE,1,22
"658",658,TRUE,0,22
"659",659,FALSE,1,22
"660",660,FALSE,0,22
"661",661,FALSE,1,22
"662",662,FALSE,1,22
"663",663,FALSE,0,22
"664",664,FALSE,1,22
"665",665,FALSE,0,22
"666",666,TRUE,0,22
"667",667,TRUE,1,22
"668",668,TRUE,0,22
"669",669,FALSE,0,22
"670",670,TRUE,1,22
"671",671,FALSE,1,22
"672",672,TRUE,0,22
"673",673,TRUE,0,22
"674",674,TRUE,0,23
"675",675,FALSE,1,23
"676",676,FALSE,0,23
"677",677,TRUE,0,23
"678",678,TRUE,0,23
"679",679,FALSE,0,23
"680",680,FALSE,0,23
"681",681,TRUE,0,23
"682",682,FALSE,0,23
"683",683,FALSE,0,23
"684",684,FALSE,0,23
"685",685,FALSE,0,23
"686",686,FALSE,0,23
"687",687,TRUE,0,23
"688",688,TRUE,0,23
"689",689,TRUE,0,23
"690",690,FALSE,0,23
"691",691,FALSE,1,23
"692",692,FALSE,0,23
"693",693,TRUE,0,23
"694",694,TRUE,0,23
"695",695,FALSE,0,23
"696",696,TRUE,0,23
"697",697,TRUE,0,23
"698",698,FALSE,0,23
"699",699,FALSE,0,23
"700",700,FALSE,0,23
"701",701,FALSE,0,23
"702",702,FALSE,0,23
"703",703,TRUE,0,23
"704",704,TRUE,0,24
"705",705,FALSE,1,24
"706",706,FALSE,0,24
"707",707,FALSE,0,24
"708",708,FALSE,0,24
"709",709,TRUE,1,24
"710",710,FALSE,0,24
"711",711,FALSE,0,24
"712",712,FALSE,0,24
"713",713,FALSE,0,24
"714",714,TRUE,0,24
"715",715,FALSE,0,24
"716",716,TRUE,0,24
"717",717,TRUE,1,24
"718",718,TRUE,0,24
"719",719,TRUE,1,24
"720",720,FALSE,0,24
"721",721,TRUE,1,24
"722",722,TRUE,1,24
"723",723,TRUE,0,24
"724",724,FALSE,0,24
"725",725,TRUE,0,24
"726",726,FALSE,1,24
"727",727,FALSE,0,24
"728",728,TRUE,1,24
"729",729,TRUE,0,24
"730",730,FALSE,1,24
"731",731,TRUE,1,24
"732",732,TRUE,0,24
"733",733,FALSE,0,24
"734",734,FALSE,0,1
"735",735,TRUE,1,1
"736",736,TRUE,0,1
"737",737,TRUE,0,1
"738",738,FALSE,0,1
"739",739,TRUE,0,1
"740",740,TRUE,0,1
"741",741,TRUE,0,1
"742",742,TRUE,0,1
"743",743,TRUE,1,1
"744",744,TRUE,1,1
"745",745,FALSE,0,1
"746",746,FALSE,1,1
"747",747,TRUE,0,1
"748",748,TRUE,0,1
"749",749,TRUE,0,1
"750",750,TRUE,1,1
"751",751,TRUE,1,25
"752",752,FALSE,1,25
"753",753,TRUE,0,25
"754",754,FALSE,0,25
"755",755,TRUE,1,25
"756",756,FALSE,1,25
"757",757,FALSE,1,25
"758",758,FALSE,0,25
"759",759,FALSE,1,25
"760",760,TRUE,1,25
"761",761,FALSE,0,25
"762",762,TRUE,1,25
"763",763,TRUE,1,25
"764",764,FALSE,1,25
"765",765,FALSE,1,25
"766",766,FALSE,0,25
"767",767,TRUE,1,25
"768",768,FALSE,1,25
"769",769,TRUE,1,25
"770",770,FALSE,1,25
"771",771,FALSE,1,25
"772",772,TRUE,1,25
"773",773,TRUE,1,25
"774",774,TRUE,1,25
"775",775,FALSE,1,25
"776",776,FALSE,0,25
"777",777,TRUE,1,25
"778",778,TRUE,1,25
"779",779,TRUE,1,25
"780",780,FALSE,1,25
"781",781,FALSE,1,26
"782",782,TRUE,0,26
"783",783,FALSE,0,26
"784",784,FALSE,0,26
"785",785,TRUE,1,26
"786",786,TRUE,0,26
